Entidade,Pagina,Titulo,Link,Data,Tema,texto
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 192, DE 16 DE ABRIL DE 2024",https://www.arsae.mg.gov.br/2024/04/16/resolucao-192-2024/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 191, DE 20 DE MARÇO DE 2024",https://www.arsae.mg.gov.br/2024/03/22/resolucao-191-2024/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 190, DE 23 DE FEVEREIRO DE 2024",https://www.arsae.mg.gov.br/2024/02/28/resolucao-190-2024/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 189, DE 08 DE FEVEREIRO DE 2024",https://www.arsae.mg.gov.br/2024/02/09/resolucao-189-2024/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 188, 25 DE JANEIRO DE 2024 [Revogada]",https://www.arsae.mg.gov.br/2024/01/26/resolucao-188-2024/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 187, 29 DE DEZEMBRO DE 2023",https://www.arsae.mg.gov.br/2024/01/02/resolucao-187-2023/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 186, DE 28 DE NOVEMBRO DE 2023 [Revogada]",https://www.arsae.mg.gov.br/2023/11/29/resolucao-186-2023/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 185, DE 28 DE NOVEMBRO DE 2023",https://www.arsae.mg.gov.br/2023/11/29/resolucao-185-2023/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 184, DE 16 DE NOVEMBRO DE 2023",https://www.arsae.mg.gov.br/2023/11/28/resolucao-184-2023/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 183, DE 27 DE SETEMBRO DE 2023 [Revogada]",https://www.arsae.mg.gov.br/2023/10/25/resolucao-183-2023/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 182, DE 12 DE SETEMBRO DE 2023 [Revogada]",https://www.arsae.mg.gov.br/2023/10/02/resolucao-182-2023/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 181, DE 24 DE JULHO DE 2023",https://www.arsae.mg.gov.br/2023/07/25/resolucao-181-2023/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 180, DE 21 DE JUNHO DE 2023 [Revogada]",https://www.arsae.mg.gov.br/2023/06/23/resolucao-180-2023/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 179, DE 01 DE JUNHO DE 2023",https://www.arsae.mg.gov.br/2023/06/01/resolucao-179-2023/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 178, DE 16 DE FEVEREIRO DE 2023",https://www.arsae.mg.gov.br/2023/02/17/resolucao-178-2023/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 177, DE 16 DE FEVEREIRO DE 2023 [Revogada]",https://www.arsae.mg.gov.br/2023/02/17/resolucao-177-2023/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 176, DE 27 DE JANEIRO DE 2023 [REVOGADA]",https://www.arsae.mg.gov.br/2023/01/30/resolucao-176-2023/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG 175, DE 15 DE DEZEMBRO DE 2022 [Revogada]",https://www.arsae.mg.gov.br/2022/12/16/resolucao-175-2022/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 174, DE 24 DE NOVEMBRO DE 2022",https://www.arsae.mg.gov.br/2022/11/25/resolucao-174-2022/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG 173, DE 24 DE NOVEMBRO DE 2022",https://www.arsae.mg.gov.br/2022/11/25/resolucao-173-2022/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG 172, DE 12 DE AGOSTO DE 2022 [Revogada]",https://www.arsae.mg.gov.br/2022/08/16/resolucao-172-2022/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 171, DE 12 DE AGOSTO DE 2022 [Revogada]",https://www.arsae.mg.gov.br/2022/08/16/resolucao-171-2022/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 170, DE 21 DE JULHO DE 2022",https://www.arsae.mg.gov.br/2022/07/22/resolucao-170-2022/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 169, DE 21 DE JULHO DE 2022",https://www.arsae.mg.gov.br/2022/07/22/resolucao-169-2022/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 168, DE 19 DE JULHO DE 2022 [Expirada]",https://www.arsae.mg.gov.br/2022/07/20/resolucao-168-2022/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 167, DE 24 DE JUNHO DE 2022 [Expirada]",https://www.arsae.mg.gov.br/2022/06/27/resolucao-167-2022/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 166, DE 24 DE JUNHO DE 2022",https://www.arsae.mg.gov.br/2022/06/27/resolucao-166-2022/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 165, DE 26 DE ABRIL DE 2022",https://www.arsae.mg.gov.br/2022/04/27/resolucao-165-2022/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 164, DE 18 DE FEVEREIRO DE 2022",https://www.arsae.mg.gov.br/2022/02/22/resolucao-164-2022/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG 163, DE 18 DE FEVEREIRO DE 2022",https://www.arsae.mg.gov.br/2022/02/22/resolucao-163-2022/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 162, DE 24 DE JANEIRO DE 2022 [Expirada]",https://www.arsae.mg.gov.br/2022/01/24/resolucao-162-2022/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,"RESOLUÇÃO ARSAE-MG Nº 161, DE 23 DE DEZEMBRO DE 2021 [Revogada]",https://www.arsae.mg.gov.br/2022/01/04/resolucao-161-2021/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/resolucoes-2/,Telefones de contato,https://www.arsae.mg.gov.br/resolucoes-2/quem-e-quem/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/agenda-regulatoria/,Conselho Consultivo de Regulação,https://www.arsae.mg.gov.br/conselho/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/agenda-regulatoria/,Revista Regulação em Foco,https://www.arsae.mg.gov.br/revista/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/agenda-regulatoria/,Normas,https://www.arsae.mg.gov.br/agenda-regulatoria/#,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/agenda-regulatoria/,Resoluções,https://www.arsae.mg.gov.br/resolucoes-2/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/agenda-regulatoria/,Legislação Setorial,https://www.arsae.mg.gov.br/legislacao-setorial/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/agenda-regulatoria/,Telefones de contato,https://www.arsae.mg.gov.br/agenda-regulatoria/quem-e-quem/,,Não Classificado,
